model_code_name,model_display_name,seed,manifest_path,leakage_check,checkpoint_path,checkpoint_exists,validation_predictions,validation_predictions_exist,test_predictions,test_predictions_exist,seed_artifact_dir,job_marker,job_marker_complete,metrics_file,metrics_exist,action,command
cnn,CNN,11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_seed_11_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_seed_11_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn\seed_11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_seed_11.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 11 --leakage-check stack_sha1
cnn,CNN,22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_seed_22_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_seed_22_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn\seed_22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_seed_22.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 22 --leakage-check stack_sha1
cnn,CNN,33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_seed_33_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_seed_33_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn\seed_33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_seed_33.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 33 --leakage-check stack_sha1
cnn,CNN,44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_seed_44_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_seed_44_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn\seed_44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_seed_44.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 44 --leakage-check stack_sha1
cnn,CNN,55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_seed_55_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_seed_55_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn\seed_55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_seed_55.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 55 --leakage-check stack_sha1
cnn_attention,Attention-CNN,11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_attention_seed_11_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_attention_seed_11_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn_attention\seed_11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_attention_seed_11.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn_attention --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 11 --leakage-check stack_sha1
cnn_attention,Attention-CNN,22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_attention_seed_22_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_attention_seed_22_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn_attention\seed_22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_attention_seed_22.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn_attention --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 22 --leakage-check stack_sha1
cnn_attention,Attention-CNN,33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_attention_seed_33_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_attention_seed_33_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn_attention\seed_33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_attention_seed_33.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn_attention --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 33 --leakage-check stack_sha1
cnn_attention,Attention-CNN,44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_attention_seed_44_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_attention_seed_44_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn_attention\seed_44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_attention_seed_44.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn_attention --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 44 --leakage-check stack_sha1
cnn_attention,Attention-CNN,55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_attention_seed_55_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_attention_seed_55_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn_attention\seed_55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_attention_seed_55.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn_attention --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 55 --leakage-check stack_sha1
cnn_focus_hybrid,CNN--focus hybrid,11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_focus_hybrid_seed_11_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_focus_hybrid_seed_11_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn_focus_hybrid\seed_11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_focus_hybrid_seed_11.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn_focus_hybrid --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 11 --leakage-check stack_sha1
